"session","session_id","study_id","created","modified","ended","expired","remind_situation","situ_nerv","situ_rela","situ_care","situ_blue","situ_irri","situ_bala","situ_soci","situ_asse","situ_subo","situ_acti","situ_pass","situ_enth","situ_symp","situ_aloo","situ_kind","situ_poli","situ_susp","situ_trus","situ_orga","situ_tidy","situ_lazy","situ_dili","situ_thou","situ_reli","situ_arti","situ_curi","situ_conv","situ_trad","typical_week","suit_nerv","suit_rela","suit_care","suit_blue","suit_irri","suit_bala","suit_soci","suit_asse","suit_subo","suit_acti","suit_pass","suit_enth","suit_symp","suit_aloo","suit_kind","suit_poli","suit_susp","suit_trus","suit_orga","suit_tidy","suit_lazy","suit_dili","suit_thou","suit_reli","suit_arti","suit_curi","suit_conv","suit_trad","traits","selected_items","unclarity","ot_unclarity"
"zn1GEXMeY8vEGVulUAIalSUko_UXesyszH8-e0ozVa25F_j0OEpJz08MQWiR-WJ7","580","15","2024-07-03 16:50:12","2024-07-03 16:58:20","2024-07-03 16:58:20","","I was having breakfast at home with my partner. We were having coffee and toast and talking about the things I learned in my PSYC 304 class yesterday.","1","8","8","1","1","6","7","6","1","4","1","9","7","3","7","7","1","8","6","5","4","8","1","7","1","10","1","1","I go to UBC using the Skytrain and R4 bus. I mainly interact with the professors, other students, my partner, and my family from Brazil through video calls on Whatsapp. I also interact with my cat, who sleeps with me almost every night. ","6","6","3","3","2","8","5","6","4","3","4","8","8","3","8","10","1","10","8","7","9","8","1","10","3","9","7","3","balanced,blue,irritable,active,suspicious,nervous,kind,passive,tidy,enthusiastic,sympathetic,aloof,thoughtless,lazy,diligent,artistic,assertive,curious,subordinate,sociable,carefree,trustful,conventional,reliable,organized,traditional,polite,relaxed","","",""
"cI2TPRUE6osNiuWruMJwxqjXfT64KtGLkdh3YT5iI4Q7fxt2MBZwtwDldpAebF54","584","15","2024-07-03 17:00:28","2024-07-03 17:00:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cQJ3W_fvRNBozdK_v3J1k14I_KrjUInbQHgE3ZqbX2GS5S-ENM5tNToSAICvMXVp","587","15","2024-07-03 17:00:40","2024-07-03 17:05:19","2024-07-03 17:05:19","","I was having breakfast with my partner at home. We were having coffee with toast and talking about what I learned at my PSYC 304 class yesterday.","1","7","6","1","1","5","8","8","1","4","1","10","8","1","6","7","1","8","7","4","4","6","1","8","1","9","1","1","I go to UBC for classes and come back home. I also volunteer at the BC crisis line once a week. I mainly interact with the professors, other students, the callers of the crisis line, my partner, and my family in Brazil (via WhatsApp video call).","7","6","4","4","4","5","4","7","4","5","4","8","8","6","8","8","1","9","8","8","5","8","1","10","3","9","4","3","kind,lazy,artistic,thoughtless,suspicious,subordinate,nervous,traditional,blue,carefree,trustful,assertive,organized,diligent,passive,balanced,sociable,enthusiastic,tidy,relaxed,conventional,reliable,curious,irritable,polite,sympathetic,aloof,active","","",""
"6tZ0HmhwLIibt3E1sSX-rsPzGPWsxsUgCGNS7iTHVGWcyRo_hjMg-O-ab8kTmRWq","596","15","2024-07-03 21:19:37","2024-07-03 21:27:52","2024-07-03 21:27:52","","I was at home with my two cats. I was checking my grade for my psyc assignment and was happy with what I had received.","4","9","2","1","1","3","3","1","3","1","3","8","1","1","5","5","1","5","10","2","5","10","1","8","4","2","5","5","I work from home and in the office. I also do online learning, workout classes and weightlifting at the gym. I usually see my family once a week in another city. I live with my boyfriend and see him everyday.","2","4","1","1","5","4","3","6","5","9","1","4","7","3","8","9","1","8","7","7","2","7","1","9","8","4","5","5","aloof,carefree,kind,thoughtless,suspicious,polite,trustful,irritable,tidy,blue,relaxed,nervous,subordinate,assertive,enthusiastic,reliable,diligent,active,curious,lazy,sociable,balanced,traditional,artistic,conventional,sympathetic,organized,passive","conventional","25","I think that word means 'normal' or something along those lines. I didn't know if i am getting that context right"
"kIzPebmdxfoSjLOySvLGeN6jrBQff8aGeJ93ggCF9YRp-3BwOofEC4T8rNkgy64q","602","15","2024-07-03 21:54:15","2024-07-03 22:00:53","2024-07-03 22:00:53","","An hour ago I was lying on the bed alone watching videos, I was very relaxed","5","10","5","5","1","5","3","5","5","5","1","3","5","1","5","5","1","5","5","1","8","3","7","8","3","1","5","5","Go to school or eat at various places with people I know","5","5","5","5","1","5","3","1","3","5","1","3","3","1","5","5","1","5","5","1","7","5","5","5","3","1","5","5","enthusiastic,reliable,relaxed,balanced,assertive,artistic,lazy,passive,diligent,aloof,blue,irritable,traditional,sympathetic,suspicious,nervous,sociable,polite,tidy,organized,trustful,conventional,active,curious,subordinate,carefree,thoughtless,kind","balanced,assertive,aloof,traditional,suspicious,tidy,conventional,subordinate,carefree,thoughtless,kind","4, 5, 10, 13, 15, 19, 22, 25, 26, 27, 28","Mainly unsure of the meaning, or I think there may be multiple meanings"
"DSWMwvt1y-YRIoTvxiINjpDc9OR4u09LgsN1jxHWsZAZj1KBZhJN6FCbT_5J9ZDt","609","15","2024-07-03 22:22:27","2024-07-03 22:31:30","2024-07-03 22:31:30","","an hour ago, I was driving to my mom's cafe to complete some schoolwork. I had just finished coaching early morning basketball and was feeling a little tired. ","2","7","8","5","6","7","5","3","7","8","5","7","7","6","8","8","2","8","8","8","5","5","9","8","1","8","7","7","in a typical week, I go to school, to the gym, to the basketball court, to numerous parks, and maybe to the beach. I interact with family, friends, my girlfriend, and her dog","4","5","4","2","5","7","8","8","5","10","3","9","7","3","8","7","2","8","7","7","2","7","5","7","4","6","5","5","passive,artistic,diligent,relaxed,curious,trustful,enthusiastic,blue,traditional,active,organized,carefree,aloof,conventional,thoughtless,suspicious,nervous,balanced,assertive,kind,sympathetic,tidy,irritable,sociable,reliable,subordinate,lazy,polite","traditional,aloof,subordinate","9, 13, 26","for traditional, I am unsure of the context behind using this word to describe my day 

for aloof and subordinate, I am unsure of its exact definitions "
"FXJGT1fQnhVaQ_kUaF0AwjPWoTnivlmBKBxORnhWx25rCyE_j40VhMAmsnj6ls43","615","15","2024-07-03 22:42:07","2024-07-03 22:47:52","2024-07-03 22:47:52","","I was outside studying talking to my roomate at my house","1","5","4","1","2","7","1","2","4","1","5","1","3","4","7","6","1","3","6","4","5","5","1","6","3","6","3","1","I go to work and see my coworkers, I talk to my roommates, i go biking, I go volunteer at a nonprofit for mental health and I go to the beach and go do hikes and outside activities ","3","7","7","4","6","8","8","5","6","8","5","7","8","8","7","8","3","8","6","4","4","1","6","6","6","6","5","1","balanced,passive,sympathetic,tidy,diligent,subordinate,nervous,thoughtless,traditional,active,aloof,reliable,trustful,suspicious,irritable,carefree,relaxed,lazy,enthusiastic,sociable,artistic,conventional,assertive,kind,polite,organized,curious,blue","subordinate,thoughtless,traditional,aloof,assertive","6, 8, 9, 11, 23","Im not sure what the definition of aloof, and I am not sure how thoiughtless traditional and asserive can be suitable in describing my feelings of activities i did in the week, it seems like the right words to use,"
"KMuzihzakpuD60DSfoBOH19sAWm6RjpaUA5FcoJEOlr7-zZYyj_T2EfqwRMUS_l0","621","15","2024-07-03 23:43:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7Y3uvRDpoRusXjBeAAIHuH2dDhCcAiriC4shMMfhsR769hwCFWmGn1O02GgcWd7o","624","15","2024-07-03 23:44:11","2024-07-03 23:44:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78smZ8d297JsFQRwBaUugqmT_8Leutp4SBykPh2gW_Z8QnHWvw10XpMvsdFSI_-p","628","15","2024-07-04 00:54:40","2024-07-04 01:01:30","2024-07-04 01:01:30","","An hour ago I was at home, making a smoothie, with my dog. I had just woken up as I was up late the night before.","1","9","6","1","2","6","7","2","3","8","5","6","5","2","9","9","2","6","8","8","2","5","2","8","5","2","6","5","In a typical week in my life, I would work, go to the gym, go play basketball, and go see my friends. ","2","9","5","1","2","9","9","6","2","10","2","9","8","1","9","9","2","10","7","8","3","8","3","9","6","6","6","6","carefree,subordinate,curious,traditional,organized,lazy,balanced,thoughtless,nervous,reliable,diligent,conventional,active,blue,enthusiastic,irritable,sociable,aloof,relaxed,artistic,trustful,kind,passive,sympathetic,tidy,assertive,suspicious,polite","","",""
"W1V7zIOIARJTtdpzReObbj1uGlfDf95rvSInrtUVhaAkUEEgA5BzYH3VjhWm9qjj","634","15","2024-07-04 02:12:21","2024-07-04 02:23:19","2024-07-04 02:23:19","","I was seated in my living room on the couch, alone. I was watching one of my online psychology lectures and taking notes on my laptop. ","5","6","3","3","3","6","2","3","3","5","5","5","3","3","5","6","2","7","7","7","3","8","2","6","2","6","8","3","Since it is summer, I am typically at home for most of the week, attending my online university classes over zoom. I interact with my parents, sister and grandmother at home, and call/text my friends occasionally. If I leave home during the week, I go on a few walks around the neighborhood, or go grocery shopping.","4","6","3","4","3","6","2","3","3","3","5","4","6","3","7","7","2","5","8","9","5","8","3","8","3","6","8","4","organized,traditional,diligent,nervous,relaxed,kind,enthusiastic,active,blue,passive,assertive,subordinate,irritable,curious,conventional,aloof,artistic,carefree,suspicious,sociable,thoughtless,trustful,sympathetic,polite,lazy,balanced,reliable,tidy","traditional,passive,subordinate","2, 10, 12","The meaning of the words seems ambiguous in terms of how they describe behavior and mood."
"cLeSKXkV8apMCS78W71aor9OT0tExIinGvCuIaUjulda9GLkzQJrli3xuRjmzTVD","637","15","2024-07-04 02:20:31","2024-07-04 02:47:28","2024-07-04 02:47:28","","I was at work waiting for working hours to end andiwas with my friend","2","2","3","1","3","2","1","2","1","2","2","2","3","5","3","3","1","5","1","4","5","2","5","6","2","3","2","1","I woke every morning at 7 go to work say hello and ask about others day and start to work till 5 get back home to my partner and he is also my friend communicate and then do some activities maybe pool maybe workout or maybe watching something then 2 days a week we visit our siblings and families and once in a while a friend 
We just immigrated so we do not have so many friends","6","3","4","2","3","5","3","5","3","8","1","7","6","2","7","5","1","5","5","6","2","5","2","8","6","7","4","5","relaxed,trustful,blue,nervous,suspicious,reliable,kind,enthusiastic,sociable,artistic,thoughtless,subordinate,assertive,aloof,curious,tidy,balanced,carefree,sympathetic,conventional,organized,active,polite,irritable,diligent,passive,traditional,lazy","blue,artistic,balanced,traditional","3, 10, 17, 27","Blue:i may be sad but not blue…i mean blue is out of control for me but sadness is some how in my control i feel sad more compare to blue
Balanced if it means you feel everything is handled i do not feel that way most of the time
Traditional means what i do not have any idea
"
"5tYGNtb6PwJQGY8KySMjWHjI0yQYvCfE04F3rVDOu12neDWC27tOSQTFX2X167Zy","644","15","2024-07-04 03:14:06","2024-07-04 03:21:04","2024-07-04 03:21:04","","I'm sitting in front of my laptop and monitor in my room. Looking at psychology course that I enrolled in and the psych experiments that I need to do. I'm by myself. My leg is itchy from sun burn.","7","2","4","6","6","7","3","4","6","6","4","6","3","5","5","6","4","6","3","3","8","7","6","4","3","6","6","3","I go to work. I go to office 3 times a day. I study and go to class. I play guitar around 6pm. I watch Curb Your Enthusiasm at lunch. Scrolling Netflix to choose what to watch at night. ","6","4","4","7","7","7","6","4","7","6","7","6","7","7","7","7","7","5","6","3","6","7","7","8","7","9","7","4","blue,lazy,polite,nervous,curious,active,assertive,conventional,thoughtless,suspicious,sociable,carefree,relaxed,enthusiastic,sympathetic,subordinate,kind,aloof,passive,balanced,diligent,artistic,trustful,traditional,reliable,tidy,irritable,organized","conventional,balanced,traditional","8, 20, 24","Conventional and traditional - does it mean I'm more reserved in my life or I'm following a well-established routine or doing what every one else is doing with or without thoughts? 

balanced - a bit confusing for having both positive and negative emotions or feeling balanced in the time that I spent in various areas of life?"
"4wWBRRqFhyn6rbG5WNRTO4NxBPUEYpzXpZL6TpjiefFxG4lnf-JNjScP9R2VAQNQ","651","15","2024-07-04 04:32:44","2024-07-04 04:41:03","2024-07-04 04:41:03","","I was at a cafe in Port Coquitlam and I was catching up on my two summer session classes. I was with my partner for a bit, just chatting over coffee, then he left and I was alone to do my work.","3","9","2","1","1","7","3","5","5","1","8","7","8","2","10","10","1","8","9","10","3","9","2","8","1","5","9","6","I typical week in my life consists of going to a cafe to watch my lectures and do my work, usually alone. In my free time, I will meet with my partner to eat or exercise together. I go climbing three times a week with my partner and go play ultimate with a group of people from my high school. I attend church twice a week, in which I interact with other peers, mentors, students that I mentor.","7","6","1","6","1","7","2","2","5","8","10","3","9","4","9","10","1","9","10","10","6","10","4","7","2","1","9","8","nervous,relaxed,irritable,tidy,passive,aloof,traditional,trustful,assertive,conventional,lazy,artistic,subordinate,blue,suspicious,balanced,sociable,kind,reliable,organized,thoughtless,carefree,polite,sympathetic,curious,diligent,active,enthusiastic","aloof,conventional,subordinate,suspicious","6, 10, 13, 15","Because I've never heard of the word or I don't understand the word in this specific context."
"I0oDBpS9mfTmjRUB-KtJMk9nsiVINZZ2iT5PWNqM-BDPpqj-V65uqZQ6yWSMhWdy","659","15","2024-07-04 06:01:05","2024-07-04 06:10:20","2024-07-04 06:10:20","","Went on a 30 minute run around the neighborhood by myself. Listened to music on my phone. ","1","7","6","1","1","5","6","9","1","10","1","9","7","1","9","10","1","7","5","1","1","5","1","2","1","1","1","1","Currently on maternity leave. Older daughter is in preschool 2 days a week. I do some shopping, clean the house, study schoolwork. We go to the park a few times a week and visit with friends a few times a week. I workout at home or go on a run 2-3 times a week. Grocery shopping 1-2 times a week. We go to visit family 2-3 times a week. ","6","3","1","3","5","4","10","9","1","8","1","8","8","5","8","9","2","10","10","10","3","10","7","10","2","2","3","7","aloof,artistic,active,enthusiastic,suspicious,kind,reliable,tidy,conventional,thoughtless,subordinate,passive,sympathetic,nervous,relaxed,blue,lazy,trustful,curious,balanced,carefree,diligent,organized,assertive,sociable,irritable,traditional,polite","aloof","1","It is not a word I common use or hear and unsure about the meaning. "
"1KnpWdlMjKLnCI-Mot63I12xzhPFhTYefmrZOMLqy0dpS7gc9OsMQiWerY3wKtnD","663","15","2024-07-04 06:13:13","2024-07-04 06:17:32","2024-07-04 06:17:32","","Went for a 30 minute run around the neighborhood and listened to music on my phone by myself. ","2","3","3","1","2","7","9","9","1","10","1","8","7","2","8","9","1","8","8","9","1","6","7","8","2","1","2","1","Currently on maternity leave. Older child in preschool two days a week. Grocery shopping 1-2 times a week. Physical activity at home or on a run 2-3 times a week. Typically go shopping, do household chores, outdoor activities, and study homework. Visit family 2-3 times a week. ","3","3","1","1","6","5","10","8","2","8","1","9","8","2","9","9","1","10","10","10","2","9","8","10","2","1","3","8","kind,suspicious,balanced,organized,active,artistic,conventional,aloof,trustful,diligent,thoughtless,irritable,relaxed,curious,enthusiastic,sociable,polite,tidy,passive,nervous,carefree,blue,subordinate,sympathetic,traditional,assertive,reliable,lazy","aloof","8","It is not a word I often use or hear and therefore an unsure of its meaning and context. "
"J2cJzdl0AIfeKKI8RhhDlcbK4plBD_aSBBSS6bjHPCuwmf7TfwwnrD2HRw6cWHte","669","15","2024-07-04 06:31:27","2024-07-04 06:39:26","2024-07-04 06:39:26","","About an hour ago, I was moving some blazers and coats into our new apartment. I was accompanied by my mum, brother, and dad. Together, we all worked to haul some easily organizable things into the new apartment before we rent a truck to take the larger items, such as the beds, sofas, and tables. ","6","3","3","5","8","7","4","5","5","8","3","5","3","1","7","5","2","10","10","5","1","9","1","10","1","5","5","5","A typical week in my life revolves around going to university on the weekdays where I attend class, meet with friends, and complete most of my homework. I usually have lunch at UBC with one of my friends and always call my mom sometime during the day to catch up. On the weekends, I spend Saturday at my mom's office where I typically study and have lunch with my mom. Finally, Sundays are when my family and I do most of the cleaning in the apartment, as well as grocery shopping.","8","5","2","5","7","6","6","6","4","7","4","6","5","4","6","6","5","8","8","8","2","7","3","9","1","5","5","3","polite,lazy,aloof,artistic,subordinate,balanced,nervous,curious,thoughtless,relaxed,assertive,trustful,tidy,blue,passive,kind,active,diligent,enthusiastic,carefree,organized,sympathetic,reliable,suspicious,sociable,traditional,irritable,conventional","","",""
"YkplgTQRQ4Le23RNC2e7kFUrdhWKnbqM5j4kmtKWnUVvH0Mr4VSoC42B9Dlqp86M","672","15","2024-07-04 06:36:48","2024-07-04 06:50:01","2024-07-04 06:50:01","","An hour ago, I woke up, brushed my teeth, had a cup of coffee, and fed my cat.","1","8","8","1","1","4","1","1","3","4","1","3","1","1","6","5","1","4","6","5","4","1","5","4","1","1","4","6","I stayed at home most of the week because it was too hot outside. I go to the supermarket once a week. I talk to my mom a lot and my cat. If I am free on the weekend, I will fly to Hong Kong to visit my boyfriend.","1","8","8","1","1","4","5","4","4","4","3","4","4","1","7","5","1","5","4","2","6","3","4","5","2","1","4","4","blue,enthusiastic,balanced,organized,reliable,tidy,passive,relaxed,artistic,aloof,trustful,diligent,active,polite,irritable,curious,thoughtless,sociable,nervous,subordinate,conventional,carefree,assertive,suspicious,lazy,traditional,sympathetic,kind","artistic,subordinate","9, 20","I'm not sure how people feel artistic, if they do activities related to art, will they feel artistic, such as painting and so on."
"yT7sIADfzbhmjnD4vWpWSjIi02GtspDVH533BFkGmlzybEtIZP5yOwLx7hROKPOc","681","15","2024-07-04 06:56:14","2024-07-04 07:03:34","2024-07-04 07:03:34","","I was at the gym talking to my friend and brother after I was done my workout. My brother does not know my friend that well as he is a personal trainer at the gym and this was the first time all of us were talking together. My brother was waiting for a machine to get free while he chilled with us and I was done my workout so I was chilling with him and my friend. ","1","8","8","1","1","8","10","3","1","7","1","8","2","4","7","6","1","5","4","2","3","2","5","5","1","5","3","2","A typical week in my life consist of going to my summer class and talking to my friends there, finishing up the assignments at home, going to the gym everyday in the evening, hanging out with my friends every 2-3 days but FaceTiming them every night, talking to my parents everyday after they are done working and we are all home in the evening, and getting ready every single day with a set routine. ","1","5","6","1","3","7","10","4","3","9","1","8","2","1","8","5","1","4","8","7","3","5","2","5","1","2","5","4","sociable,balanced,relaxed,kind,diligent,lazy,conventional,artistic,trustful,aloof,traditional,blue,passive,active,organized,nervous,irritable,thoughtless,curious,subordinate,assertive,sympathetic,suspicious,tidy,enthusiastic,polite,carefree,reliable","","",""
"Ow_jYjre6k3ixkjdlnQHM2YQ6zuG0b3G_oHi-6AfOEjO19vfZiGQYwp3aILr5lQM","684","15","2024-07-04 07:01:25","2024-07-04 07:06:38","2024-07-04 07:06:38","","I was at home and did my readings for summer class. My family was with me and we just got out of a disagreement. ","4","3","3","7","9","3","5","7","5","4","8","4","4","6","5","5","7","5","6","4","8","7","6","5","5","4","5","6","I go to Costco with my family to buy grocery and go out with my friends. I mostly stay home if not any of those activities. ","2","8","8","2","2","8","7","4","6","7","4","8","8","6","9","7","2","7","7","7","7","2","4","8","7","7","7","3","nervous,subordinate,passive,balanced,relaxed,lazy,active,traditional,curious,trustful,sociable,conventional,thoughtless,sympathetic,organized,aloof,reliable,polite,enthusiastic,kind,carefree,irritable,assertive,suspicious,blue,tidy,diligent,artistic","subordinate,traditional,conventional,aloof","2, 8, 12, 16","I'm not really sure what they mean and how them apply in my situation"
"rvNVESE3bdfdcwRxjR379g0Lz_-FWzaq2LLwzOKfWyxMCaPrmGBSE6iaWDj9-vCs","697","15","2024-07-04 08:25:21","2024-07-04 08:28:07","2024-07-04 08:28:08","","sleeping at home","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","playing mahjong with my friends","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","kind,passive,active,balanced,relaxed,blue,reliable,organized,carefree,curious,diligent,aloof,nervous,trustful,irritable,assertive,artistic,lazy,subordinate,traditional,sociable,tidy,sympathetic,polite,thoughtless,suspicious,enthusiastic,conventional","","",""
"-8wUeCkuA4Ubnd90Eb1-kok-05IFFWUCiVa_uVD7eNRQnT_IN_nrrHweEOEsnrje","703","15","2024-07-04 08:34:29","2024-07-04 08:57:58","2024-07-04 08:57:58","","I was waiting for the elevator with at least ten people under the heat. That building is always packed with people. Food delivery men were complaining because of how slow the elevator was and it stopped at every floor. ","7","4","4","4","9","4","2","7","8","3","8","4","7","7","7","7","3","6","6","6","7","7","5","4","2","7","7","6","In summer break right now, I would wake up around ten thirty, skip breakfast and lie on my bed scrolling the phone. And then I would have lunch with my family. After lunch, I normally get ready for work and take subway to the workplace. I tutor middle schoolers from 1pm to 8pm. When I get home, it's normally 9pm. My mom and I always watch tv shows together.","4","7","3","3","5","6","7","4","6","4","3","8","7","3","9","8","3","9","8","8","6","3","4","9","3","5","6","6","polite,passive,subordinate,organized,suspicious,kind,trustful,aloof,carefree,balanced,tidy,reliable,assertive,traditional,nervous,diligent,sociable,thoughtless,curious,sympathetic,relaxed,conventional,artistic,enthusiastic,blue,active,irritable,lazy","subordinate,aloof,diligent","3, 8, 16","I'm not sure how they are used while describing a person."
"KmvQkU-4vQsl4XnARq9qIwFmHfTjDBzlUO61BkXLJ412UHHfIYe_Uq2QGYbWZVA9","707","15","2024-07-04 08:54:31","2024-07-04 09:01:37","2024-07-04 09:01:37","","I was doing my daily skin care routine in my room and my cat was walking around me.","1","8","6","1","1","5","1","7","4","7","1","2","1","1","8","1","1","7","10","8","6","6","10","7","1","1","5","5","On a typical week, I just lay on my bed and stay in my room for the whole day.","1","10","10","1","1","5","1","1","1","8","4","1","3","4","6","4","1","10","7","8","10","1","10","5","1","1","1","1","aloof,balanced,traditional,active,blue,enthusiastic,thoughtless,suspicious,assertive,passive,diligent,reliable,organized,lazy,kind,tidy,polite,conventional,irritable,relaxed,curious,sympathetic,carefree,nervous,subordinate,sociable,trustful,artistic","assertive,conventional,subordinate","9, 18, 25","I don't know the english meaning of it"
"xzHxy77VqM-iCiCA0H_CTOP5NcIcU0cjktp_bRh40OkMFt9G0zpEoRopH_uZ1XZ4","716","15","2024-07-04 09:59:48","2024-07-04 10:19:14","2024-07-04 10:19:14","","I played a video game with my boyfriend. He was a fan of ""Honour of Kings"", whereas I was a game retard. Not surprisingly, I did badly in those competitions. I was tired and tried to take a shower to decrease my stress. I knew he cared so much about the victory or not the games, so I did not want to see him blame me or even try to act calm to let me not be influenced by his mood. All in all, the past 1 hour was like a trash.","7","2","1","7","5","4","3","2","2","4","9","3","3","4","5","6","4","3","2","4","8","3","10","2","2","5","3","4","I would go to take lectures at school every Monday and Wednesday. During the intervals between the lecture days, I might go to supermarkets to grab some fresh foods, including meat and vegetables. I was on a diet recently. Therefore, I had only one meal per day, but the figure of me tended to be more slim, which is good!","7","8","8","9","5","7","2","5","4","8","5","4","5","8","4","5","3","8","7","5","2","7","3","8","5","3","8","7","organized,irritable,suspicious,diligent,polite,enthusiastic,sociable,carefree,reliable,subordinate,curious,lazy,conventional,artistic,tidy,aloof,relaxed,active,assertive,kind,nervous,trustful,thoughtless,blue,passive,traditional,sympathetic,balanced","conventional,traditional","13, 26","It is strange to use conventional or traditional to describe the ""me"" in the typical 1 week moment. The word conventional points to emphasize the routine is conventional(everything tends to be the same), or is used to express your actions or traits being traditional? There is a blurry line that should be annotated or readers would not get the meaning of it, which might affect the result of your study."
"swFWTm2Z1nFrwD3bojcc8CM0fTsZB1HuiQ471H2kyl1xHmuTLHJi10A_643S-XoM","720","15","2024-07-04 10:21:16","2024-07-04 10:29:39","2024-07-04 10:29:39","","I was by myself on my computer choosing classes for next year","6","1","1","6","5","1","1","1","1","1","1","1","1","1","1","1","1","1","6","4","4","5","1","1","1","5","1","1","I don’t go out often, only leaving to go to school or work or walk my dog. I text my friends often or call them while playing games.","6","6","4","6","6","4","3","3","3","3","7","4","4","2","5","6","3","7","6","5","8","2","7","7","3","5","4","3","curious,active,irritable,sociable,artistic,carefree,balanced,suspicious,thoughtless,diligent,trustful,enthusiastic,subordinate,nervous,reliable,aloof,kind,passive,polite,sympathetic,conventional,organized,tidy,lazy,assertive,blue,relaxed,traditional","subordinate,traditional","13, 28","not sure what it means in this context"
"rSyqlE6Tdrq90ogddJT6Ftuxp1jCd_1Tsb8SqG4V1O_Wg2ojW1ogcs6au4xmPwmx","733","15","2024-07-04 13:59:24","2024-07-08 12:49:31","2024-07-08 12:49:31","","I was watching a horror movie with friends at a house in the basement.","4","4","8","1","1","3","8","6","1","3","1","7","7","1","3","1","6","6","7","1","9","1","1","8","1","7","3","1","NA","1","4","5","1","4","2","1","8","2","5","2","7","1","2","6","1","2","4","1","7","4","1","1","4","1","5","4","1","subordinate,carefree,active,tidy,traditional,reliable,trustful,organized,nervous,kind,conventional,passive,blue,thoughtless,sociable,polite,curious,sympathetic,suspicious,artistic,lazy,diligent,aloof,relaxed,assertive,irritable,balanced,enthusiastic","","",""
"D7Y8DcWcLmd4V-BwD7B8SACfPjcvs2iW3Zw886OTvBzee0YTWVbV9YrsJ847eeTQ","739","15","2024-07-04 20:11:21","2024-07-04 20:17:42","2024-07-04 20:17:42","","I was at the UBC campus walking to class, alone. ","1","3","4","2","8","6","4","5","1","6","5","4","6","3","6","9","1","5","7","6","3","8","5","7","1","3","6","5","I go to the gym in the mornings, I go to work 2-3 days a week, I go to school 2 days a week, I do homework and readings for class, I talk to my family and friends and customers at work. ","2","6","6","3","7","7","8","6","2","6","6","5","9","4","9","10","4","5","9","9","2","8","4","8","7","5","6","7","tidy,conventional,relaxed,diligent,sociable,carefree,subordinate,curious,enthusiastic,assertive,irritable,artistic,reliable,blue,traditional,suspicious,trustful,aloof,polite,kind,lazy,passive,nervous,active,organized,sympathetic,balanced,thoughtless","","",""
"t5N7jh0Tka2DKx5boiN_b5sQxwY6RJ2HMrJAylwkaqQslBLdD6EMgRiKSDnZ0K7U","742","15","2024-07-04 20:17:33","2024-07-04 20:31:38","2024-07-04 20:31:39","","I was driving to school alone","10","8","3","6","6","8","1","5","1","3","8","1","6","1","10","10","1","6","8","6","10","1","10","6","1","2","5","8","I go to summer session at ubc every tuesday and thursday, and I hang out with my friends on weekends. I sometimes go to dance studio.","5","6","8","3","3","8","6","6","1","3","5","5","9","3","8","10","2","6","3","3","10","5","8","8","3","6","5","6","active,artistic,irritable,carefree,reliable,lazy,blue,kind,suspicious,subordinate,curious,trustful,relaxed,assertive,traditional,sociable,diligent,tidy,passive,nervous,polite,thoughtless,balanced,aloof,organized,sympathetic,enthusiastic,conventional","traditional","15","I'm not quite sure how traditional is decribed as a feeling"
"FINgLPZsztEyUmofndLlksqFHXV976rel9uieaMWr5b0wME_5v9_CqohTFXnpQ1-","748","15","2024-07-04 20:23:46","2024-07-04 20:32:02","2024-07-04 20:32:02","","I was listening the lecture in classroom with my friends.","3","5","10","5","5","10","6","8","10","10","5","8","3","4","10","10","2","10","8","9","10","5","8","10","3","8","10","3","Go to school and learn lectures, after that I studied. ","5","4","6","8","4","6","3","4","5","5","4","7","2","5","7","9","3","7","5","9","5","5","8","7","3","4","6","5","suspicious,organized,active,sociable,kind,curious,assertive,balanced,irritable,relaxed,blue,artistic,polite,diligent,nervous,conventional,enthusiastic,reliable,subordinate,passive,traditional,lazy,aloof,carefree,trustful,sympathetic,thoughtless,tidy","assertive,subordinate,passive","7, 19, 20","Just do not sure"
